Time,Linear kinetic energy,Angular kinetic energy,Kinetic energy (sum)
283.183,41239.7,20620.9,61860.5
283.2,41459.7,20730.8,62190.6
283.217,41680.3,20841.3,62521.6
283.233,41901.6,20951.8,62853.5
283.25,42123.5,21062.7,63186.2
283.267,42345.8,21174,63519.9
283.283,42568.9,21285.5,63854.4
283.3,42792.6,21397.3,64189.9
283.317,43016.8,21509.4,64526.2
283.333,43241.6,21621.8,64863.3
283.35,43466.9,21734.5,65201.4
283.367,43692.9,21847.4,65540.3
283.383,43919.4,21960.7,65880.1
283.4,44146.4,22074.4,66220.8
283.417,44374.1,22188.1,66562.2
283.433,44602.3,22302.2,66904.6
283.45,44831.1,22416.7,67247.8
283.467,45060.6,22531.5,67592
283.483,45290.6,22646.4,67937.1
283.5,45521.2,22761.8,68283
283.517,45752.4,22877.4,68629.8
283.533,45983.9,22993.6,68977.5
283.55,46216.7,23109.4,69326.1
283.567,46449.6,23225.9,69675.5
283.583,46683.2,23342.7,70025.9
283.6,46917.3,23459.8,70377.1
283.617,47151.8,23577.3,70729.2
283.633,47387.3,23694.8,71082.1
283.65,47623.2,23812.7,71436
283.667,47859.7,23931,71790.7
283.683,48096.8,24049.5,72146.3
283.7,48334.5,24168.4,72502.9
283.717,48572.6,24287.5,72860.1
283.733,48811.5,24406.9,73218.3
283.75,49050.8,24526.6,73577.4
283.767,49290.8,24646.6,73937.4
283.783,49531.4,24766.9,74298.3
283.8,49772.6,24887.5,74660.1
283.817,50014.5,25008.3,75022.8
283.833,50256.9,25129.5,75386.4
283.85,50499.8,25251,75750.8
283.867,50743.3,25372.8,76116.1
283.883,50987.3,25494.9,76482.2
283.9,51232,25617.2,76849.2
283.917,51477.2,25739.9,77217.1
283.933,51723.1,25862.8,77585.9
283.95,51969.1,25986.4,77955.6
283.967,52216.6,26109.5,78326.1
283.983,52464.2,26233.3,78697.5
284,52712.4,26357.4,79069.8
284.017,52961.2,26481.7,79443
284.033,53210.5,26606.5,79817
284.05,53460.4,26731.5,80191.9
284.067,53711,26856.7,80567.7
284.083,53962.1,26982.3,80944.4
284.1,54213.6,27108.4,81322
284.117,54466.1,27234.4,81700.5
284.133,54718.9,27360.9,82079.8
284.15,54972.4,27487.6,82460
284.167,55226.5,27614.6,82841.1
284.183,55481.1,27741.9,83223.1
284.2,55736.4,27869.5,83605.9
284.217,55992,27997.4,83989.4
284.233,56248.4,28125.6,84374
284.25,56505.3,28254.1,84759.4
284.267,56762.9,28382.9,85145.8
284.283,57021,28512,85533
284.3,57279.7,28641.4,85921.1
284.317,57539,28771.1,86310.1
284.333,57799,28901,86700
284.35,58059.5,29031.2,87090.7
284.367,58320.6,29161.8,87482.3
284.383,58582.2,29292.6,87874.8
284.4,58844.5,29423.7,88268.2
284.417,59107.3,29555.1,88662.4
