Time,Acceleration (x)
86.0667,3.55365e-006
86.0833,1.02038e-007
86.1,-3.62018e-006
86.1167,3.49991e-006
86.1333,-3.52798e-006
86.15,-2.96527e-007
86.1667,3.77667e-006
86.1833,-3.63741e-006
86.2,3.77606e-006
86.2167,1.50822e-007
86.2333,-3.70464e-006
86.25,3.50986e-006
86.2667,-3.63015e-006
86.2833,-1.52425e-007
86.3,3.89276e-006
86.3167,-3.62709e-006
86.3333,-1.83088e-007
86.35,3.83642e-006
86.3667,-3.74748e-006
86.3833,3.78564e-006
86.4,-9.16158e-009
86.4167,-3.77657e-006
86.4333,3.52157e-006
86.45,-3.49407e-006
86.4667,-8.96767e-008
86.4833,3.78041e-006
86.5,-3.59676e-006
86.5167,3.65527e-006
86.5333,-2.43701e-007
86.55,-3.5817e-006
86.5667,3.5174e-006
86.5833,4.42052e-007
86.6,-3.83676e-006
86.6167,3.63643e-006
86.6333,-3.58469e-006
86.65,-8.99189e-008
86.6667,3.49288e-006
86.6833,-3.47454e-006
86.7,3.42563e-006
86.7167,4.43059e-007
86.7333,-3.88316e-006
86.75,3.60059e-006
86.7667,-3.63818e-006
86.7833,-1.10727e-007
86.8,3.64818e-006
86.8167,-3.57931e-006
86.8333,-1.08848e-007
86.85,3.63701e-006
86.8667,-3.56436e-006
86.8833,3.85714e-006
86.9,5.85764e-008
86.9167,-3.74757e-006
86.9333,3.53273e-006
86.95,-3.65261e-006
86.9667,-9.17184e-008
86.9833,3.86274e-006
87,-3.78001e-006
87.0167,3.84945e-006
87.0333,4.10609e-008
87.05,-3.92029e-006
87.0667,3.8528e-006
87.0833,7.91476e-008
87.1,-3.76897e-006
87.1167,3.52547e-006
87.1333,-3.58762e-006
87.15,-1.46202e-007
87.1667,3.65138e-006
87.1833,-3.51966e-006
87.2,3.72663e-006
87.2167,4.41511e-008
87.2333,-3.90735e-006
87.25,3.88351e-006
87.2667,-3.90566e-006
87.2833,-3.93716e-008
87.3,3.73073e-006
87.3167,-3.51542e-006
87.3333,3.71829e-006
87.35,3.44229e-008
87.3667,-3.82409e-006
87.3833,3.69856e-006
87.4,1.69072e-007
87.4167,-3.87336e-006
87.4333,3.70429e-006
87.45,-3.49056e-006
87.4667,-1.80029e-007
87.4833,3.58202e-006
87.5,-3.60295e-006
87.5167,3.62332e-006
87.5333,1.18879e-008
87.55,-3.53991e-006
87.5667,3.69579e-006
87.5833,-3.62255e-006
87.6,-3.10426e-007
87.6167,3.76932e-006
87.6333,-3.71143e-006
87.65,1.45552e-008
87.6667,3.83522e-006
87.6833,-3.74248e-006
87.7,3.65708e-006
